name,platform,r-date,score,user score,developer,genre,players,critics,users
Rayman Origins,3DS,2012-11-06,71,6.3,UBlartMontpellier,Platformer,No info,8,74
Rayman Origins,3DS,2012-11-06,71,6.3,UBlartMontpellier,Fantasy,No info,8,74
Rayman Origins,3DS,2012-11-06,71,6.3,UBlartMontpellier,Platformer,No info,8,74
Rayman Origins,3DS,2012-11-06,71,6.3,UBlartMontpellier,2D,No info,8,74
Rayman Origins,3DS,2012-11-06,71,6.3,UBlartMontpellier,2D,No info,8,74
Ar tonelico II: Melody of Metafalica,PlayStation2,2009-01-20,71,8.3,Gust,Role-Playing,No info,17,61
Ar tonelico II: Melody of Metafalica,PlayStation2,2009-01-20,71,8.3,Gust,Console-style RPG,No info,17,61
Hyperdimension Neptunia U: Action Unleashed,PlayStationVita,2015-05-19,71,7.0,Tamsoft,Action,No Online Multiplayer,20,50
Hyperdimension Neptunia U: Action Unleashed,PlayStationVita,2015-05-19,71,7.0,Tamsoft,General,No Online Multiplayer,20,50
Hyperdimension Neptunia U: Action Unleashed,PlayStationVita,2015-05-19,71,7.0,Tamsoft,Beat-'Em-Up,No Online Multiplayer,20,50
Hyperdimension Neptunia U: Action Unleashed,PlayStationVita,2015-05-19,71,7.0,Tamsoft,3D,No Online Multiplayer,20,50
Screencheat,PC,2014-10-21,71,7.1,SamuraiPunk,Sci-Fi,No info,7,9
Screencheat,PC,2014-10-21,71,7.1,SamuraiPunk,Action,No info,7,9
Screencheat,PC,2014-10-21,71,7.1,SamuraiPunk,Shooter,No info,7,9
Screencheat,PC,2014-10-21,71,7.1,SamuraiPunk,First-Person,No info,7,9
Screencheat,PC,2014-10-21,71,7.1,SamuraiPunk,Tactical,No info,7,9
Screencheat,PC,2014-10-21,71,7.1,SamuraiPunk,Arcade,No info,7,9
Killer Is Dead: Nightmare Edition,PC,2014-05-23,71,6.3,GrasshopperManufacture,Action Adventure,No Online Multiplayer,8,106
Killer Is Dead: Nightmare Edition,PC,2014-05-23,71,6.3,GrasshopperManufacture,Sci-Fi,No Online Multiplayer,8,106
Killer Is Dead: Nightmare Edition,PC,2014-05-23,71,6.3,GrasshopperManufacture,General,No Online Multiplayer,8,106
MX vs. ATV Unleashed,PC,2006-01-16,71,7.3,RainbowStudios,Driving,6  Online,12,7
MX vs. ATV Unleashed,PC,2006-01-16,71,7.3,RainbowStudios,Racing,6  Online,12,7
MX vs. ATV Unleashed,PC,2006-01-16,71,7.3,RainbowStudios,Simulation,6  Online,12,7
MX vs. ATV Unleashed,PC,2006-01-16,71,7.3,RainbowStudios,Rally / Offroad,6  Online,12,7
MX vs. ATV Unleashed,PC,2006-01-16,71,7.3,RainbowStudios,Rally / Offroad,6  Online,12,7
MX vs. ATV Unleashed,PC,2006-01-16,71,7.3,RainbowStudios,Automobile,6  Online,12,7
