name,platform,r-date,score,user score,developer,genre,players,critics,users
Marvel's Guardians of the Galaxy - Episode 2: Under Pressure,PC,2017-06-06,72,6.0,TelltaleGames,3D,No info,12,27
Marvel's Guardians of the Galaxy - Episode 2: Under Pressure,PC,2017-06-06,72,6.0,TelltaleGames,Third-Person,No info,12,27
Batman: Arkham City - Harley Quinn's Revenge,Xbox360,2012-05-29,72,6.9,RocksteadyStudios,Action Adventure,No info,20,82
Batman: Arkham City - Harley Quinn's Revenge,Xbox360,2012-05-29,72,6.9,RocksteadyStudios,Fantasy,No info,20,82
Batman: Arkham City - Harley Quinn's Revenge,Xbox360,2012-05-29,72,6.9,RocksteadyStudios,Fantasy,No info,20,82
Batman: Arkham City - Harley Quinn's Revenge,Xbox360,2012-05-29,72,6.9,RocksteadyStudios,Open-World,No info,20,82
Kitty Powers' Matchmaker,PlayStation4,2017-02-07,72,6.3,STELLARENTERTAINMENTSOFTWARELTD,Action,No info,8,4
Kitty Powers' Matchmaker,PlayStation4,2017-02-07,72,6.3,STELLARENTERTAINMENTSOFTWARELTD,General,No info,8,4
Lichtspeer,PC,2016-09-27,72,7.6,Lichthund,Action Adventure,No Online Multiplayer,9,15
Lichtspeer,PC,2016-09-27,72,7.6,Lichthund,General,No Online Multiplayer,9,15
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox360,2013-01-15,72,6.3,GearboxSoftware,Action,No info,10,45
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox360,2013-01-15,72,6.3,GearboxSoftware,Shooter,No info,10,45
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox360,2013-01-15,72,6.3,GearboxSoftware,Shooter,No info,10,45
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox360,2013-01-15,72,6.3,GearboxSoftware,First-Person,No info,10,45
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox360,2013-01-15,72,6.3,GearboxSoftware,Sci-Fi,No info,10,45
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox360,2013-01-15,72,6.3,GearboxSoftware,Sci-Fi,No info,10,45
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox360,2013-01-15,72,6.3,GearboxSoftware,Arcade,No info,10,45
Capcom Classics Collection Vol. 2,Xbox,2006-11-24,72,7.0,DigitalEclipse,Miscellaneous,1-4 ,15,5
Capcom Classics Collection Vol. 2,Xbox,2006-11-24,72,7.0,DigitalEclipse,Compilation,1-4 ,15,5
Tembo the Badass Elephant,PlayStation4,2015-07-21,72,6.7,GameFreak,Action Adventure,No info,32,55
Tembo the Badass Elephant,PlayStation4,2015-07-21,72,6.7,GameFreak,General,No info,32,55
Dark Sector,Xbox360,2008-03-25,72,7.4,DigitalExtremes,Action,Up to 10 ,71,151
Dark Sector,Xbox360,2008-03-25,72,7.4,DigitalExtremes,Shooter,Up to 10 ,71,151
Dark Sector,Xbox360,2008-03-25,72,7.4,DigitalExtremes,Shooter,Up to 10 ,71,151
Dark Sector,Xbox360,2008-03-25,72,7.4,DigitalExtremes,Third-Person,Up to 10 ,71,151
Dark Sector,Xbox360,2008-03-25,72,7.4,DigitalExtremes,Sci-Fi,Up to 10 ,71,151
